Name,Category,List-Price,Price,Total Review,Rating Average,Discount,Discount Rate
Nước Giặt Ariel Cửa Trước Bung Tỏa Đam Mê 3.25Kg,Chăm sóc nhà cửa,233000,155000,47,4.6,78000,33
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Ngăn Ngừa Mùi Hôi Hương Tươi Mát túi 3.8L,Chăm sóc nhà cửa,219000,173000,95,5,46000,21
Túi Nước Giặt Omo Matic Bền Đẹp Cửa Trước 2.9Kg,Chăm sóc nhà cửa,165000,135000,225,4.7,30000,18
Giấy Vệ Sinh Choice L (24 Cuộn),Chăm sóc nhà cửa,49000,49000,123,4.7,0,0
Nước Giặt Ariel Matic Hương Downy Túi 2.1Kg,Chăm sóc nhà cửa,139000,114000,91,4.8,25000,18
Nước Rửa Chén Khử Mùi Tanh Sunlight Matcha Trà Nhật Mới (3.6kg / Chai) - Mới,Chăm sóc nhà cửa,114000,99000,348,4.8,15000,13
Nước Xả Vải Downy Đóa Hoa Ngọt Ngào Dạng Chai 800ml,Chăm sóc nhà cửa,66000,55000,86,4.6,11000,17
"Siêu tẩy dầu mỡ HGO [XỊT LÀ SẠCH] tẩy dầu mỡ cháy két trên lưới lọc máy hút mùi, tường gạch ốp, mặt bếp ga, bếp từ hiệu quả an toàn chất lượng",Chăm sóc nhà cửa,155000,95000,90,4.5,60000,39
Combo 2 túi nước giặt xả Maxkleen hương Vườn Sớm Mai 3.8kg/túi ,Chăm sóc nhà cửa,380000,282000,124,5,98000,26
"[XỊT LÀ SẠCH] Nước tẩy cặn canxi HGO PLUS trên vòi rửa inox, vách kính, bồn rửa sứ trong nhà tắm. Chai 500ml ",Chăm sóc nhà cửa,195000,99000,21,4.5,96000,49
Diệt kiến dạng Gel Bayer Maxforce Quantum 0.03% (12g),Chăm sóc nhà cửa,160000,149000,82,4.7,11000,7
Combo 2 Túi Nước Giặt OMO Matic Bền Đẹp Lựu Và Tre Cho Máy Giặt Cửa Trước (2.3kg/Túi),Chăm sóc nhà cửa,278000,203000,901,4.7,75000,27
"Hộp 12 Viên Tẩy Vệ Sinh Lồng Máy Giặt, Diệt Khuẩn Và Tẩy Chất Cặn Lồng Máy Giặt Hiệu Quả",Chăm sóc nhà cửa,175000,23900,17,4.1,151100,86
Nước Lau Sàn Sunlight Tinh Dầu Thiên Nhiên - Hương hoa Diên Vỹ (2.6kg/Túi),Chăm sóc nhà cửa,57000,56000,82,4.8,1000,2
Nước Rửa Chén Sunlight Chanh Công Nghệ Mới Dạng Chai,Chăm sóc nhà cửa,95000,86000,271,4.8,9000,9
Combo 2 Vim Diệt Khuẩn Trắng Sáng Hương Chanh Sả Dịu Mát 880ml,Chăm sóc nhà cửa,76000,67000,275,4.7,9000,12
Nước Tẩy Bồn Cầu Vim Diệt Khuẩn (900ml) - Xanh Biển,Chăm sóc nhà cửa,36000,36000,36,4.8,0,0
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Ngăn Ngừa Mùi Hôi Hương Tươi Mát túi 3.2L,Chăm sóc nhà cửa,179000,151000,346,4.8,28000,16
DẠNG GÓI 20 VIÊN | HỘP 100 VIÊN - THUỐC DIỆT CHUỘT STORM - DẠNG VIÊN NÉN - ĐƠN GIẢN DỄ SỬ DỤNG - AN TOÀN VỚI NGƯỜI SỬ DỤNG VÀ MÔI TRƯỜNG,Chăm sóc nhà cửa,39000,27000,90,4.5,12000,31
Nước Lau Sàn Sunlight Hương Hoa Thiên Nhiên 3.6kg,Chăm sóc nhà cửa,100000,97000,277,4.8,3000,3
Combo 2 Túi Nước Giặt Ariel Dịu Nhẹ Cho Da Nhạy Cảm (2.15kg/ Túi) - Mềm mại ngát hương - An toàn cho da em bé,Chăm sóc nhà cửa,278000,227000,56,4.8,51000,18
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Ngăn Ngừa Mùi Hôi Hương Tươi Mát túi 2.8L,Chăm sóc nhà cửa,170000,146000,41,4.6,24000,14
Khăn Giấy Lụa Tiết Kiệm Choice L (SL) 2 lớp (180 Tờ / Gói) (Bao Bì Mới),Chăm sóc nhà cửa,35000,31700,228,4.7,3300,9
Combo 2 Nước Rửa Chén Sunlight Thiên nhiên Muối khoáng Và Lô hội (2.1kg x 2),Chăm sóc nhà cửa,130000,118000,342,4.8,12000,9
Nước Giặt Lix Đậm Đặc ,Chăm sóc nhà cửa,85000,61000,100,4.8,24000,28
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Hương Nước Hoa Thiên Nhiên Bella Túi 2.8L,Chăm sóc nhà cửa,170000,144000,37,4.8,26000,15
Nước giặt Ariel Dạng Túi Dịu Nhẹ Cho Da Nhạy Cảm 2.15kg,Chăm sóc nhà cửa,139000,114000,106,4.7,25000,18
Bột Giặt Tide Hương Downy (5kg),Chăm sóc nhà cửa,209000,168000,124,4.7,41000,20
Thuốc viên diệt gián nội địa Nhật Bản,Chăm sóc nhà cửa,232700,51000,10,4.8,181700,78
Combo 2 Nước xả vải em bé Comfort Kháng Khuẩn Dịu Nhẹ Túi 2.4L,Chăm sóc nhà cửa,340000,274000,113,4.6,66000,19
Combo 3 Túi Nước Giặt Xả Maxkleen Hương Vườn Sớm Mai (2.4kg/túi),Chăm sóc nhà cửa,408000,282000,70,4.8,126000,31
Túi Nước Giặt OMO Dịu Nhẹ Trên Da 2.0kg,Chăm sóc nhà cửa,127000,107000,161,5,20000,16
Nước Giặt Xả Công Nghê Thái Lan Di-mark 5 lít (đen) Thơm Lâu Công Nghệ Mới 5 IN 1,Chăm sóc nhà cửa,380000,155000,121,4.6,225000,59
Nước Lau Sàn Sunlight Thiên Nhiên Chiết Xuất Chanh Yuzu & Tinh Dầu Sả 3.6Kg,Chăm sóc nhà cửa,100000,87000,160,4.8,13000,13
Muối rửa bát Finish 4.0 kg,Chăm sóc nhà cửa,500000,230000,142,4.7,270000,54
Combo 3 lọ Thuốc diệt kiến gián sinh học Hanpet- Dung dịch diệt kiến tận gốc,Chăm sóc nhà cửa,59000,44300,126,4.5,14700,25
Nước Xả Vải Downy Cuốn Hút Dạng Túi,Chăm sóc nhà cửa,159000,138000,77,4.7,21000,13
Combo 2 Túi Nước Giặt Ariel Matic Đậm Đặc (2.3kg/ Túi),Chăm sóc nhà cửa,272000,229000,247,4.6,43000,16
Giấy Vệ Sinh Pulppy Classic (10 Cuộn),Chăm sóc nhà cửa,81900,81900,115,4.7,0,0
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Ngăn Ngừa Mùi Hôi Hương Tươi Mát túi 2.8L,Chăm sóc nhà cửa,170000,146000,41,4.6,24000,14
Combo 10 Viên Tẩy Bồn Cầu,Chăm sóc nhà cửa,75000,17900,3,4.7,57100,76
Nước Xả Làm Mềm Vải Comfort Chăm Sóc Chuyên Sâu Đậm Đặc Một Lần Xả Hương Ban Mai Túi 2.8L,Chăm sóc nhà cửa,170000,144000,83,4.8,26000,15
Thuốc diệt chuột tiêu diệt cả đàn chuột hàng xách tay Nhật Bản,Chăm sóc nhà cửa,289000,94000,24,3.6,195000,67
Viên rửa bát Finish All in one 100 viên,Chăm sóc nhà cửa,750000,650000,6,5,100000,13
Hộp 4 Viên Nén Vệ Sinh Lồng Giặt OMO Matic 80gr,Chăm sóc nhà cửa,85000,85000,0,0,0,0
Nước Xả Vải Downy Hương Nắng Mai 8.5L,Chăm sóc nhà cửa,446000,357000,27,4.7,89000,20
Nước Lau Sàn Sunlight Tinh Dầu Thiên Nhiên - Hương Hoa Diên Vỹ 3.8kg,Chăm sóc nhà cửa,93000,80000,202,4.8,13000,14
Nước Hoa Tinh Dầu Thơm Phòng - Tinh Dầu Khô MissuVN,Chăm sóc nhà cửa,109000,28000,43,4.2,81000,74
Combo 5 hộp khăn giấy Pulppy ( 180 tờ / hộp ),Chăm sóc nhà cửa,165000,101000,81,4.6,64000,39
Combo 2 Nước Giặt Ariel Matic Đậm Đặc (3.6Kg/ Túi),Chăm sóc nhà cửa,468000,289000,9,4.6,179000,38
Viên Thả Làm Sạch Bồn Cầu (1 Gói 10 Viên),Chăm sóc nhà cửa,45000,14400,13,4.5,30600,68
Bột giặt Surf Hương nước xả vải (Hồng) Gói lớn 5.8kg,Chăm sóc nhà cửa,169000,115000,46,4.7,54000,32
Combo 2 Túi Nước Xả Vải Downy Hương Hoa Nắng Mai (2.4L/ Túi),Chăm sóc nhà cửa,304000,239000,0,0,65000,21
Nước Tẩy Diệt Khuẩn Bồn Cầu Vim Zero Mảng Bám (750ml),Chăm sóc nhà cửa,34000,29000,312,4.8,5000,15
Nước Xả Vải Downy Dịu Nhẹ Túi 2.6L cho Da Nhạy Cảm,Chăm sóc nhà cửa,165500,143000,55,4.7,22500,14
Nước Lau Sàn Sunlight Tinh Dầu Thiên Nhiên - Hương hoa Diên Vỹ (2.6kg/Túi),Chăm sóc nhà cửa,57000,45000,10,5,12000,21
Combo 2 Túi Nước Giặt OMO Matic Comfort Hương Tinh dầu thơm 2.0kg,Chăm sóc nhà cửa,254000,218000,94,4.6,36000,14
Viên rửa bát Finish Nhật 150 viên,Chăm sóc nhà cửa,500000,325000,13,4.7,175000,35
Nước Xả Vải Downy Mềm Mại Tinh Khiết (3.5L/ Túi) ,Chăm sóc nhà cửa,219000,165000,156,4.6,54000,25
"COMBO 2 Hộp Viên Tẩy Lồng Máy Giặt Khử Sạch Cặn Bẩn, Vệ Sinh Máy Giặt Diệt Khuẩn Và Khử Mùi Lồng Máy - Đa Năng Phù Hợp Sử Dụng Cho Nhiều Loại Máy Giặt (COMBO 12 Viên)",Chăm sóc nhà cửa,190000,36000,16,3.7,154000,81
Nước Giặt Ariel Cửa Trước Hương Đam Mê Dạng Túi (2.15Kg/Túi),Chăm sóc nhà cửa,160000,129000,3,5,31000,19
Bột Thông Cống Cực Mạnh-268g-TVS55-Hạt Trắng,Chăm sóc nhà cửa,800001,37000,3,5,763001,95
"Hộp đốt nhang muỗi chuyên dụng, khay đựng hương muỗi an toàn chống cháy siêu tiện dụng",Chăm sóc nhà cửa,99000,84900,0,0,14100,14
Nước xả vải em bé Comfort Kháng Khuẩn Dịu Nhẹ Túi 2.4L,Chăm sóc nhà cửa,170000,142000,172,4.7,28000,16
Máy Xịt Phòng Tự Động 60 Ngày Glade - Hương Oải Hương Và Vani Ngọt Ngào,Chăm sóc nhà cửa,265900,221000,4,5,44900,17
Nước Giặt Lix Hương Nước Hoa 3.8Kg NGH01 - Tẩy Sạch Vết Bẩn Cực Mạnh,Chăm sóc nhà cửa,179000,109000,76,4.7,70000,39
Nước Giặt Downy Biển Xanh Tươi Mát 3.25kg,Chăm sóc nhà cửa,217000,159000,2,5,58000,27
"Chất thông tắc Cầu, Cống Sifa chống hôi Siêu nhanh Siêu mạnh 5 phút",Chăm sóc nhà cửa,140000,77406,135,4.2,62594,45
PHẤN DIỆT KIẾN VÀ CÔN TRÙNG VIPESCO - DIỆT TRỪ CÔN TRÙNG QUANH NHÀ - DẠNG VIÊN PHẤN - CÓ THỂ VẼ HOẶC NGHIỀN BỘT RẮC,Chăm sóc nhà cửa,25000,25000,84,4.6,0,0
Bột Giặt Lix Extra Hương Hoa 6Kg EB006 - Tẩy Sạch Vết Bẩn Cực Mạnh,Chăm sóc nhà cửa,185000,125000,8,5,60000,32
1 Thùng Viên Giặt Tide Power PODS Hygienic Clean Detergent Mỹ - 68 viên,Chăm sóc nhà cửa,820000,640000,5,4.8,180000,22
Nước Xả Vải Downy Huyền Bí (3L/Túi),Chăm sóc nhà cửa,199000,171000,49,4.8,28000,14
Bình Xịt Muỗi Jumbo Vape FIK Hương Cam Chanh 100712620 (600ml),Chăm sóc nhà cửa,66300,54000,108,4.7,12300,19
"Combo muối rửa bát Finish 1,5kg+viên rửa bát Finish 120 viên+Nước làm bóng bát chén finish 800ml",Chăm sóc nhà cửa,2300000,799995,4,3.8,1500005,65
Muối rửa bát finish 1.5kg,Chăm sóc nhà cửa,550000,143000,1,5,407000,74
Combo 2 Nước Rửa Chén Sunlight Khử mùi tanh Matcha Trà Nhật (2.1kg x 2),Chăm sóc nhà cửa,130000,116000,253,5,14000,11
Xịt Thơm Quần Áo Fabric Perfume Nội Địa Hàn Quốc Cao Cấp (250ml) – Hàng Nội Địa Chính Hãng,Chăm sóc nhà cửa,200000,89000,32,3.5,111000,56
Bình xịt Phòng tinh dầu Hương Sả Chanh 280ml JULYHOUSE ,Chăm sóc nhà cửa,249000,149000,164,4.6,100000,40
Nước Giặt OMO Matic Comfort Tinh Dầu Thơm Cho Máy Giặt Cửa Trên (3.7Kg/Túi),Chăm sóc nhà cửa,191000,150000,51,4.7,41000,21
Nước Giặt Lix Nha Đam Aloe Vera 4Kg NG400 - Bảo Vệ Da Tay,Chăm sóc nhà cửa,125000,96000,36,4.8,29000,23
Nước Xả Vải Downy Hương Nước Hoa Đam Mê 8.5L,Chăm sóc nhà cửa,500000,405000,48,4.8,95000,19
Combo 2 Nước Lau Bếp Cif Thiên Nhiên 500ml Chanh & Baking Soda Sạch Dầu Mỡ An Toàn,Chăm sóc nhà cửa,66000,61000,85,4.5,5000,8
"Hộp 8 Viên Tẩy Lồng Máy Giặt SPEVI Dạng Sủi Xuất Xứ Nhật Bản - Vệ Sinh Máy Giặt, Diệt Sạch Vi Khuẩn, Vệ Sinh Lồng Máy Giặt Và Khử Mùi Hiệu Quả - Hàng chính hãng",Chăm sóc nhà cửa,129000,39000,187,4.3,90000,70
2 lọ diệt kiến gián sinh học không mùi,Chăm sóc nhà cửa,120000,12500,241,4.5,107500,90
Combo 2 Nước Giặt Ariel Khử Mùi Ẩm Mốc 3.2kg,Chăm sóc nhà cửa,390000,307000,47,4.7,83000,21
Nước Xả Vải Downy Đam Mê Dạng Túi (750ml/Túi),Chăm sóc nhà cửa,56000,55000,56,4.8,1000,2
"Diệt côn trùng gián, kiến, kiến ba khoang, muỗi, ruồi, mối, mọt 100% Sinh học Thảo mộc 10s Chai xịt 100ml An toàn cho sức khỏe em bé và người già , đã được Bộ Y tế cho phép lưu hành",Chăm sóc nhà cửa,55000,55000,26,4.5,0,0
Bột Giặt Ariel Chuyên Dụng (9kg),Chăm sóc nhà cửa,390000,293000,66,4.6,97000,25
Máy Tính Bảng Samsung Galaxy Tab S7 Wifi T870 (6GB/128GB) - Hàng Chính Hãng,Điện Thoại - Máy Tính Bảng,14990000,14590000,42,5,400000,3
Điện Thoại Vsmart Live 4 (6GB/64GB) - Hàng Chính Hãng,Điện Thoại - Máy Tính Bảng,4790000,3690000,0,0,1100000,23
Điện Thoại iPhone 12 Pro Max 128GB - Hàng Chính Hãng,Điện Thoại - Máy Tính Bảng,33990000,29700000,455,5,4290000,13
Điện Thoại Realme C11 (2GB/32GB) - Hàng Chính Hãng,Điện Thoại - Máy Tính Bảng,2690000,2150000,137,4.8,540000,20
Máy tính bảng Vankyo MatrixPad S20 - Hàng Chính Hãng,Điện Thoại - Máy Tính Bảng,5290000,3490000,7,4.6,1800000,34
Điện Thoại Samsung Galaxy M31 (6GB/128GB) - Hàng Chính Hãng,Điện Thoại - Máy Tính Bảng,6490000,4890000,1769,4.7,1600000,25
Điện Thoại Nokia 105 Dual Sim (2019) - Hàng Chính Hãng,Điện Thoại - Máy Tính Bảng,360000,346000,2,5,14000,4
Điện Thoại Oppo A12 (3GB/32GB) - Hàng Chính Hãng,Điện Thoại - Máy Tính Bảng,2990000,2390000,196,4.7,600000,20
